CSA,CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,NPOPCHG_2010,NPOPCHG_2011,NATURALINC2010,NATURALINC2011,BIRTHS2010,BIRTHS2011,DEATHS2010,DEATHS2011,NETMIG2010,NETMIG2011,INTERNATIONALMIG2010,INTERNATIONALMIG2011,DOMESTICMIG2010,DOMESTICMIG2011,RESIDUAL2010,RESIDUAL2011
120,11700,,37115,"Madison County, NC",County or equivalent,20764,20764,20782,20816,18,34,-14,-53,39,167,53,220,33,87,3,13,30,74,-1,0
120,14820,,,"Brevard, NC",Micropolitan Statistical Area,33090,33090,33076,32820,-14,-256,-22,-69,64,287,86,356,11,-182,8,36,3,-218,-3,-5
120,14820,,37175,"Transylvania County, NC",County or equivalent,33090,33090,33076,32820,-14,-256,-22,-69,64,287,86,356,11,-182,8,36,3,-218,-3,-5
122,,,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Combined Statistical Area,5618431,5618431,5636227,5712148,17796,75921,10734,44605,19229,79082,8495,34477,6831,31105,4710,18386,2121,12719,231,211
122,12060,,,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,5268860,5268860,5286296,5359205,17436,72909,10310,42908,18054,74174,7744,31266,6897,29789,4456,17370,2441,12419,229,212
122,12060,,13013,"Barrow County, GA",County or equivalent,69367,69367,69724,69912,357,188,138,584,254,1055,116,471,215,-400,24,80,191,-480,4,4
122,12060,,13015,"Bartow County, GA",County or equivalent,100157,100157,100166,100421,9,255,138,546,327,1334,189,788,-133,-291,33,106,-166,-397,4,0
122,12060,,13035,"Butts County, GA",County or equivalent,23655,23655,23674,23504,19,-170,9,45,67,296,58,251,11,-217,3,11,8,-228,-1,2
122,12060,,13045,"Carroll County, GA",County or equivalent,110527,110527,110681,111159,154,478,153,687,381,1596,228,909,1,-210,57,212,-56,-422,0,1
122,12060,,13057,"Cherokee County, GA",County or equivalent,214346,214344,215245,218286,901,3041,450,1883,705,2911,255,1028,448,1166,96,330,352,836,3,-8
122,12060,,13063,"Clayton County, GA",County or equivalent,259424,259423,259641,261532,218,1891,729,2816,1073,4196,344,1380,-534,-933,225,659,-759,-1592,23,8
122,12060,,13067,"Cobb County, GA",County or equivalent,688078,688078,689749,697553,1671,7804,1426,5875,2334,9507,908,3632,233,1956,672,2527,-439,-571,12,-27
122,12060,,13077,"Coweta County, GA",County or equivalent,127317,127317,127906,129629,589,1723,220,853,406,1651,186,798,361,868,54,206,307,662,8,2
122,12060,,13085,"Dawson County, GA",County or equivalent,22330,22339,22362,22459,23,97,29,98,59,245,30,147,-5,1,2,8,-7,-7,-1,-2
122,12060,,13089,"DeKalb County, GA",County or equivalent,691893,691893,692858,699893,965,7035,1701,7011,2678,10977,977,3966,-790,-9,1025,4009,-1815,-4018,54,33
122,12060,,13097,"Douglas County, GA",County or equivalent,132403,132403,132650,133355,247,705,191,925,413,1762,222,837,57,-219,49,185,8,-404,-1,-1
122,12060,,13113,"Fayette County, GA",County or equivalent,106567,106567,107010,107784,443,774,30,121,190,803,160,682,415,670,55,191,360,479,-2,-17
122,12060,,13117,"Forsyth County, GA",County or equivalent,175511,175511,176775,181840,1264,5065,354,1425,561,2237,207,812,890,3599,89,309,801,3290,20,41
122,12060,,13121,"Fulton County, GA",County or equivalent,920581,920583,925920,949599,5337,23679,1615,7186,3161,13387,1546,6201,3643,16330,917,3783,2726,12547,79,163
122,12060,,13135,"Gwinnett County, GA",County or equivalent,805321,805321,808291,824941,2970,16650,2025,8526,2885,11828,860,3302,939,8095,919,3856,20,4239,6,29
122,12060,,13143,"Haralson County, GA",County or equivalent,28780,28780,28789,28638,9,-151,0,38,89,364,89,326,11,-191,1,9,10,-200,-2,2
122,12060,,13149,"Heard County, GA",County or equivalent,11834,11834,11856,11744,22,-112,7,-3,27,108,20,111,15,-110,1,2,14,-112,0,1
122,12060,,13151,"Henry County, GA",County or equivalent,203922,203923,205198,207360,1275,2162,300,1420,615,2607,315,1187,953,753,72,258,881,495,22,-11
122,12060,,13159,"Jasper County, GA",County or equivalent,13900,13900,13934,13885,34,-49,22,57,43,177,21,120,13,-107,7,33,6,-140,-1,1
122,12060,,13171,"Lamar County, GA",County or equivalent,18317,18317,18248,18194,-69,-54,10,11,47,213,37,202,-81,-66,1,6,-82,-72,2,1
122,12060,,13199,"Meriwether County, GA",County or equivalent,21992,21992,21863,21617,-129,-246,23,12,62,253,39,241,-154,-261,1,3,-155,-264,2,3
122,12060,,13217,"Newton County, GA",County or equivalent,99958,99958,100072,100814,114,742,156,667,338,1364,182,697,-43,80,21,91,-64,-11,1,-5
122,12060,,13223,"Paulding County, GA",County or equivalent,142324,142324,142796,143542,472,746,300,1069,471,1809,171,740,169,-323,36,119,133,-442,3,0
122,12060,,13227,"Pickens County, GA",County or equivalent,29431,29422,29448,29415,26,-33,-4,23,73,311,77,288,33,-55,4,14,29,-69,-3,-1
122,12060,,13231,"Pike County, GA",County or equivalent,17869,17869,17917,17751,48,-166,13,28,45,188,32,160,34,-195,3,12,31,-207,1,1
122,12060,,13247,"Rockdale County, GA",County or equivalent,85215,85215,85419,85765,204,346,122,490,261,1082,139,592,83,-145,67,255,16,-400,-1,1
122,12060,,13255,"Spalding County, GA",County or equivalent,64073,64073,64063,64033,-10,-30,58,221,221,890,163,669,-68,-251,12,43,-80,-294,0,0
122,12060,,13297,"Walton County, GA",County or equivalent,83768,83768,84041,84580,273,539,95,294,268,1023,173,729,181,254,10,53,171,201,-3,-9
122,16340,,,"Cedartown, GA",Micropolitan Statistical Area,41475,41475,41373,41211,-102,-162,24,141,133,610,109,469,-129,-305,13,56,-142,-361,3,2
122,16340,,13233,"Polk County, GA",County or equivalent,41475,41475,41373,41211,-102,-162,24,141,133,610,109,469,-129,-305,13,56,-142,-361,3,2
122,23580,,,"Gainesville, GA",Metropolitan Statistical Area,179684,179684,180152,183052,468,2900,359,1434,642,2672,283,1238,109,1469,215,859,-106,610,0,-3
122,23580,,13139,"Hall County, GA",County or equivalent,179684,179684,180152,183052,468,2900,359,1434,642,2672,283,1238,109,1469,215,859,-106,610,0,-3
122,29300,,,"LaGrange, GA",Micropolitan Statistical Area,67044,67044,67170,67764,126,594,58,242,222,912,164,670,68,352,10,47,58,305,0,0
