Date,U.S. Total Gasoline Retail Sales by All Sellers (Dollars per Gallon)
Mar-2008,2.785
Apr-2008,2.98
May-2008,3.318
Jun-2008,3.563
Jul-2008,3.558
Aug-2008,3.272
Sep-2008,3.223
Oct-2008,2.535
Nov-2008,1.609
Dec-2008,1.223
Jan-2009,1.355
Feb-2009,1.469
Mar-2009,1.51
Apr-2009,1.596
May-2009,1.853
Jun-2009,2.179
Jul-2009,2.052
Aug-2009,2.152
Sep-2009,2.069
Oct-2009,2.098
Nov-2009,2.177
Dec-2009,2.145
Jan-2010,2.245
Feb-2010,2.187
Mar-2010,2.316
Apr-2010,2.39
May-2010,2.365
Jun-2010,2.259
Jul-2010,2.259
Aug-2010,2.265
Sep-2010,2.243
Oct-2010,2.334
Nov-2010,2.39
Dec-2010,2.522
Jan-2011,2.624
Feb-2011,2.728
Mar-2011,
Apr-2011,
May-2011,
Jun-2011,
Jul-2011,
Aug-2011,
Sep-2011,
Oct-2011,
Nov-2011,
Dec-2011,
Jan-2012,
Feb-2012,
Mar-2012,
Apr-2012,
May-2012,
Jun-2012,
